,winery,description,points,price
0,Domaine Zind-Humbrecht,"Rich gold in color. Broad, layered aromas of very ripe fruit with hints of sweet smoke, brown sugar, honey and a savory earthy minerality. Full-bodied, bone dry, but richly textured with crisp acidity and a wide palette of flavors, ripe stone fruit, a creamy savory earthiness, sage and a balsamic kick on the finish. Very long length, slightly warm but with a lingering savory, mineral finish.",90,84.0
1,Testarossa,"Cooked cranberry is spiced with anise, peppercorn and roasted beef slices on this bottling from a vineyard planted by three brothers who are longtime Salinas Valley farmers. The palate shows dark cranberry and raspberry, spiced up by chopped sage, thyme and bay leaf.",91,64.0
2,Robert Mondavi,"Pithy, with grapefruit and lemon peel flavors, this wine is deceptively crisp and light on the nose, offering a wealth of body and lushness on the palate, accented with nutmeg and peach. It includes 4% Sémillon, partly from the winery's beloved To Kalon vineyard.",90,20.0
3,Testarossa,"Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper.",85,49.0
4,Robert Mondavi,"With rich, sweet blackberry and cocoa flavors, this is a very nice Cabernet for drinking with a good meal. It's a little rough around the edges, with jaggy tannins. Ready now.",87,28.0
5,Louis Latour,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",96,630.0
6,Louis Latour,"This is an opulent wine from one of the fabled series of white Grand Crus. Along with generous yellow fruits and ripe citrus, it has weight and gravitas. Spice from the wood fills things out even more, giving the wine its balance, its intensity and its future. Drink from 2022.",95,380.0
7,Undurraga,"Smooth smelling, with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate, with cherry and berry flavors and an oaky, soft finish that goes sweet then sour, and lasts for a long time. In terms of structure, it's balanced, mildly tannic, yet meant for drinking now.",87,12.0
8,Robert Mondavi,"Fine acidity and a bracing minerality, like a lick of cold steel on a winter day, mark this Chardonnay. It has oak notes, but they're wisely kept in the background, allowing the citrus, green apple and peach flavors to star. This beautiful wine continues the winery's string of great reserve Chardonnays, and is their best since the 2006 vintage.",92,40.0
9,Chehalem,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",92,50.0
10,Chehalem,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",92,29.0
11,Testarossa,"There's an expert balance between lightly melted butter, pithy Meyer lemon and toasted marcona almond on the nose of this bottling from the region's iconic vineyard. The palate is wound up tightly, offering good grip and lots of textural length while showing flavors of chamomile, saffron, sea salt and more Meyer lemon rinds.",91,49.0
12,Iron Horse,"This is the producer's highest and most westerly vineyard site. It holds back from the start, still tightly wound and somewhat reduced on the nose. As it opens, ethereal layers of wild strawberry, green tea and lacings of herb and white pepper unveil to tremendous effect.",93,85.0
13,Foxen,"Yields tend to be low in this dry-farmed vineyard, which especially struggles during a drought, but the quality is fantastic. Aromas of browned toast, popcorn, Meyer-lemon pith, honey pollen and a mineral herbal chamomile character show on the nose. A vibrant chalkiness reveals itself on the sip, with lemon blossom and grapefruit pith keeping the palate tight, grippy and texturally zippy.",92,37.0
14,Chateau Ste. Michelle,"This wine is aromatically reserved with notes of milk chocolate, char, berry, barrel spices and high-toned herbs. It's silky and polished in feel, with richness and elegance to the coffee flavors.",90,30.0
15,Wines & Winemakers,"This raspberry-flavored wine is soft and ripe. While it is fruity, it also has a nutty character that gives it a rich taste. It's dry and in a style that will make it better with food than by itself.",85,12.0
16,Iron Horse,"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",92,40.0
17,Georges Duboeuf,"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",86,12.0
18,Maryhill,"Aged for 20 months in 40% new French oak, this remains a tough nut to crack. It's encased in a hard tannic shell, with little ripe fruit, and is strongly flavored with barrel notes of tobacco and vanilla. Decant it or put it through an aerator.",86,25.0
19,Fess Parker,"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",90,28.0
20,Chehalem,"This is surprisingly light, having dropped significantly in alcohol from the previous vintage. Green-fruit flavors touch on banana and apple, and the wood—31% new and 26% once-used—seems to show a bit of rawness. Give this another couple of years of bottle age before opening.",87,40.0
21,Chehalem,"This is a pleasant white wine, albeit rather generic, as Pinot Blanc is prone to be. Crisp apple flavors and a touch of grapefruit are the focus. Drink chilled and enjoy it while it's still young and fresh.",87,29.0
22,Santa Ema,"Light and tropical, with buttercup aromas and a touch of citrus. The palate is plump and slightly oily, but with good acidity. Apple, mango and banana flavors are fruity and sweet, but overall the wine holds it together. Drink right away.",85,10.0
23,Kendall-Jackson,"Clean and crisp, with rich flavors of citrus, pear, green apple, vanilla and honey. Finishes with that well-known K-J sweetness. A blend based on Sauvignon Blanc.",85,17.0
24,Williams Selyem,"Smoky, with bursts of sage and celery root, this is a wine that is unabashedly earthy, spicy, bold and juicy at its core. Light-bodied and delicate, the palate shows beautiful floral undertones. This is a complex and beguiling bottling that should hold well for years to come.",94,58.0
25,Robert Mondavi,"The winery shows its prowess with making delicious, affordable larger-production wines with this bright and easy drinking Cabernet, a study in soft tannins, juicy cranberry/currant fruit and composed structure. It's a good one to stock up on at the price and quality.",90,28.0
26,Chateau Ste. Michelle,"Coming from the warm 2013 vintage, this is an aromatic offering, with notes of pineapple, kiwi, herbs and oak spices (40% barrel fermented). It's creamy in feel, but with tart, vibrant acidity that keeps the palate fresh and lively.",90,15.0
27,Concha y Toro,"Prickly aromas of nettle are simple as well as diluted. This feels basic and fresh, while green, citrusy flavors end with pithy notes and an oily feel.",84,11.0
28,Concha y Toro,"Blocky, stewy, raisiny aromas of nonspecific black fruits are jumbled and green. This feels awkward and jammy, with little to no structural integrity. Flavors of prune, raisin and oak finish soft and loamy.",83,11.0
29,Trapiche,"Apricot and oak aromas make for a smoky, slightly heavy bouquet. The wine keeps that weightiness as it passes from nectarine to citrus to tropical fruits. Long on the finish, with integrity. But it's also a bit citric in the center. “Pulpy” is another descriptor.",86,17.0
30,Wines & Winemakers,"Made from old vines, this rich rosé is full of fruit. It has fine acidity as well as wild-strawberry flavors. The texture, lightly mineral, gives the wine a crisp, tight shape. With a fresh aftertaste, the wine will be just right for food.",88,14.0
31,Fess Parker,"Lilacs and wisteria combine for a floral and approachable nose in this clonal study, which is also loaded with clove, peppercorn, rosemary and elderberry aromas. It's soft and lush on the palate, with rich plum and black cherry flavors leveled by notes of anise, potpourri, fresh mint and Earl Grey tea.",93,58.0
32,Iron Horse,"After three years en tirage, this well-evolved wine is heady and floral, made to highlight and celebrate diversity. Creamy and lush on the palate, it has a rounded richness of stone fruit. Made predominantly from Pinot Noir, it has an accentuated taste of strawberry shortcake.",93,65.0
33,Chateau Ste. Michelle,"Here is a solid, widely distributed, well-priced, all-purpose Chardonnay. It's got plenty of buttery toast, soft and round fruit—lightly peachy—and unusual richness for a wine in this price range. It's a California style with a Washington twist—real acid.",88,13.0
34,Feudi di San Gregorio,"Enticing aromas of honeysuckle, citrus blossom and stone fruit take shape in the glass. The palate offers juicy pineapple, green apple, white peach, mint and mineral alongside bright acidity.",89,20.0
35,Louis Jadot,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",94,90.0
36,Louis Jadot,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023.",93,132.0
37,Bründlmayer,"Made using fruit from one of the top Kamptal vineyards, this perfumed wine has great texture, with tight acidity and notes of green plum skin and lemon zest. With its depth of flavor and nervy, minerally edge, it will age for at least four years.",92,
38,Concha y Toro,"The nose is an attractive mix of cassis and mineral notes. The palate is more racy and wiry than dense and soft, with juicy, flashy flavors of berry, cherry and currant. Those notes all carry through to the long finish; drink from 2013–2018.",92,38.0
39,DFJ Vinhos,"This is a crisp, clean and refreshing wine. There is just the lightest sense of tannin giving the wine a zingy edge. Other than that, it is red-berry fruits all the way. Drink now.",85,9.0
40,DFJ Vinhos,"This is a delicious and ripe-fruited wine. Dominated by Fernão Pires, it has an apple-puree texture: smooth and creamy. The wine has an edge of light acidity at the end to give it a lift. Drink now.",85,10.0
41,Wines & Winemakers,"The blend of Fernão Pires and Arinto is a classic for the region. It gives a light and perfumed wine with a creamy texture and plenty of balancing acidity. Bright and fruity, the wine has just a final tang to add crispness. Drink now.",85,12.0
42,Williams Selyem,"A stupendous Pinot Noir, showing how beautifully this vineyard performs in the remote Sonoma Coast above Fort Ross. Williams Selyem's last few vintages of Precious Mountain have been extraordinary, but this 2009 tops them all. The wine is as light as a feather in the mouth, modest in alcohol and delicately feminine, like pure satin. However, few Pinot Noirs in the world achieve this level of concentration. Wild raspberries and cherries, cola, sleek minerals, dusty baking spices and smoky oak combine for flavors that are utterly delicious. After all that, it possesses an indefinable attribute of fascination. Will age well for a long time, if you can keep your hands off it. Now–2021.",99,94.0
43,Williams Selyem,"A drop-dead gorgeous Pinot Noir that will satisfy everyone from Burgundy fans to diehard Cabernet cultists. Show an elegant complexity and silky texture that define great California Pinot Noir, yet with a powerful impact that emphasizes raspberries, cherries and blueberries. Brilliant acidity and tannins provide the perfect framework on this wine that's drinkable now, and will develop over the next 15–20 years.",97,82.0
44,Williams Selyem,"A triumph, one of the greatest Riverblock bottings in years. This always is a captivating wine, but the '09 is particularly scrumptious. Although it's quite tannic and acidic, it's forward enough in raspberries, cherries and cola to enjoy now. But it's bone dry and as elegant as California Pinot Noir gets. The balance suggests an ability to age for a good 10 years, if not longer.",96,78.0
45,Williams Selyem,"A sip is all it takes to fall in love with this potent Pinot Noir. Big tannins and crisp acidity make it hard to appreciate now, but there's a gigantic core of cherries and raspberries, with a firm minerality from the soil. Will develop bottle complexity over the years. Don't even think of popping the cork before 2015.",95,56.0
46,Chateau Ste. Michelle,"This wine is equal parts Syrah and Merlot (43% each), with the balance a smattering of other varieties. The coffee and berry aromas seem faint while the palate delivers all of the plush fruit flavors this vintage has to offer.",88,18.0
47,Wines & Winemakers,"A light, crisp blend of Merlot and Syrah, this is soft and gently fruity. Raspberry and red-currant flavors shine easily through this simple wine.",85,12.0
48,Wines & Winemakers,"Structured and with solid tannins, this is a wood- and spice-laden wine. Its fruit lies somewhere behind all this structure and is likely to remain there.",85,15.0
49,Trapiche,"Reedy green-leaning aromas of plum and raspberry feed into a creamy palate. This tastes primarily of herbal red-berry fruits that finish oaky, dry and spicy.",85,10.0
50,V. Sattui,"This juicy red wine offers thick layers of black pepper and blueberry around sturdy oak. However, its opulent beginnings start to thin on the midpalate, veering into sour flavors and a touch of heat.",84,37.0
51,Georges Duboeuf,"Structured and firm, this wine has more in the way of dry tannins than of fruit. It presents a fine skeleton without much flesh, leaving a wine that is tight and extracted. It needs plenty of time, so drink from late 2016.",85,20.0
52,Georges Duboeuf,"This structured wine has a tight, tannic, dry character. It is slow to develop, leaving the black cherry fruits still masked by the forward dryness. Drink from 2016.",85,22.0
53,Williams Selyem,"This hugely ripe Chardonnay is just a little too big for absolute balance. Any more powerful, and it would be over the line. As it is, it flirts with it, with gobs of jammy apricots, yellow pears, citrine and Meyer lemondrop, as well as barrel influences ranging from creamy lees to buttered toast, roasted hazelnuts and smoky honey. The alcohol is over 15%.",89,46.0
54,Feudi di San Gregorio,"Feudi di San Gregorio's distinctive take on the indigenous Greco variety favors a more saturated and concentrated style. The color  is slightly more golden and intense and the aromas reveal ripe melon, honey, dried hay and almond.",89,22.0
55,Robert Mondavi,"Mondavi's done it again, produced another very nice Cabernet at an everyday price. It shows classy elegance, with blackberry, currant and mocha notes.",87,11.0
56,Wines & Winemakers,"Made from Castelão, the local grape of the Setúbal region, this wine is as bright and clean as possible. The light texture makes it ideal for summer drinking.",84,11.0
57,Louis Jadot,"With touches of vanilla and caramel as well as ripe yellow fruits, this is a warm, generous Chardonnay. It has freshness from the citrus edge and a soft texture. Straightforward, it is an open and ready-to-drink wine.",87,15.0
58,Concha y Toro,"We won't call this the best Terrunyo SB to date, but it is typically clean, mineral and full of lime and passion fruit. The overall balance and purity are up the ladder, while the flavors of green fruits, passion fruit, brine and lime don't hold back. Top notch SB from Chile to drink now.",90,25.0
59,Trapiche,"Grassy stalky berry aromas lean towards green. This feels grippy, while spicy herbal berry flavors stay the course and finish with minty green notes on top of basic plum and berry.",84,10.0
60,Columbia Crest,"The toast, freshly ground coffee, dark chocolate and cherry aromas pop. Plum and chocolate flavors are smooth in feel and linger on the finish.",88,12.0
61,Louis Jadot,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least.",94,85.0
62,Wines & Winemakers,"Crisp. dry and fruity, this wine has a light touch of citrus and fresh acidity. Fruity with a slight sparkle, it's an ideal apéritif.",85,11.0
63,Montes,"Jammy black-fruit aromas are woody, reduced and come across cheesy. A thick, tannic, oaky body is home to flavors of plastic, creamy oak, vanilla and charred berries. This is pasty, oaky and creamy on the finish.",85,13.0
64,Kendall-Jackson,"Fresh in zingy, ripe blackberry flavor, this well-made Zin has firm tannins and a dollop of peppery spice on the finish.",88,17.0
65,Casa Santos Lima,"Smooth red-berry fruits give this wine a glow of ripeness. The blend of Touriga Nacional, Syrah and Alicante Bouschet is dense and full of dark berries, with a touch of wood aging to smooth everything out. Drink now.",87,15.0
66,Chehalem,"Tart and dry, this has a broad flavor that does not express much varietal specificity, with some notes of caramel and butter. Not yet knit together, this could improve significantly with further bottle age.",85,28.0
67,Georges Duboeuf,"This has surprisingly structured fruits and firm tannins for a Nouveau, and it still maintains a juicy cherry flavor and ripe acidity. The finish has a tangy, textured character.",85,11.0
68,Chateau Ste. Michelle,The aromas of lime leaf and peach are bright and appealing. It drinks medium sweet with a finish that lingers.,88,9.0
69,Columbia Crest,"This Cabernet Franc (70%) and Merlot blend brings aromas of green herbs, dark chocolate, flowers and a mixture of red and black fruit. It's soft in feel with polished fruit and barrel flavors that linger.",88,12.0
70,Iron Horse,"Ripe, flashy fruit stars in this unoaked Chardonnay, in the form of pineapples, kiwis, limes and pears. The grapes for this delicious wine come from the winery's estate vineyard, in the cool southwestern pocket of the Russian River Valley.",90,27.0
71,Chateau Ste. Michelle,"With 12% Sémillon in the blend, this is a lovely, fresh, almost exuberant Sauvignon Blanc. Bracing and textural, with good varietal character but no excessive herbaceousness, it's loaded with fruit flavors of melon, grapefruit, kiwi and apple. A fine mix of precision and length.",90,11.0
72,Georges Duboeuf,"This is a concentrated, firm and tannic wine. It has a structured feel from Chiroubles, which are the highest vineyards in Beaujolais. With its black fruits, dark tannins and concentrated texture, it could certainly age for 2–3 years, although it is ready to drink now.",90,
73,Chateau Ste. Michelle,"This 95% Cabernet Sauvignon with the balance of Merlot, Syrah and Malbec, is immediately accessible with notes of char, roasted coffee bean and cherry. The palate is rich, chocolaty and seamlessly stitched together.",90,30.0
74,Undurraga,"Smooth smelling, with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate, with cherry and berry flavors and an oaky, soft finish that goes sweet then sour, and lasts for a long time. In terms of structure, it's balanced, mildly tannic, yet meant for drinking now.",87,12.0
75,Iron Horse,"As easy and tasty as a summer wine gets, this blush also has a lovely coppery-pink color. Flavors of fresh strawberries and spice burst on the palate, and drink just a tad off-dry.",87,15.0
